idx,name,value
1,f0_mode1,1.505741814546e+01
2,f0_mode2,6.744036635222e+01
3,f0_mode3,7.502889595635e+01
4,f0_mode4,8.117245718885e+01
5,f0_mode5,8.760328530463e+01
6,f0_mode6,1.014779388329e+02
7,f0_mode7,1.135089571078e+02
8,e0_gauge01,-7.908044751626e-04
9,e0_gauge02,-6.707322868154e-04
10,e0_gauge03,-5.346378454595e-04
11,e0_gauge04,-3.677635499995e-04
12,e0_gauge05,-1.849145860385e-04
13,e0_gauge06,-4.402340049138e-05
14,e0_gauge07,-1.354652378767e-04
15,e0_gauge08,-1.962162302954e-04
16,e0_gauge09,-1.587401152293e-04
17,e0_gauge10,-1.023482983582e-04
18,e0_gauge11,-5.571898094869e-05
19,e0_gauge12,-8.857328714846e-06
20,e0_gauge13,6.118062608613e-04
21,e0_gauge14,4.910220492821e-04
22,e0_gauge15,3.783547078193e-04
23,e0_gauge16,2.530401440758e-04
24,e0_gauge17,1.319920345131e-04
25,e0_gauge18,2.692672954014e-05
26,e0_gauge19,4.420564021617e-04
27,e0_gauge20,3.618679397627e-04
28,e0_gauge21,2.778573856194e-04
29,e0_gauge22,1.872726518163e-04
30,e0_gauge23,9.505566483825e-05
31,e0_gauge24,3.216787620377e-05
