t_s,load_g,p_raw,threshold,detected,component,mechanism,confidence,n_gauge_valid,n_accel_valid,data_quality,modal_age_s,trustworthy,status,alert
0.000,1.0000,0.31788712,0.410000,0,0,3,0.882130,24,16,1.000000,0.000,1,OK,HEALTHY
1.000,1.0000,0.58050681,0.410000,1,0,1,0.902925,24,16,1.000000,1.000,1,OK,HEALTHY
2.000,1.0000,0.49838268,0.410000,1,0,3,0.788952,24,16,1.000000,2.000,1,OK,HEALTHY
3.000,1.0000,0.39197004,0.410000,0,0,3,0.805350,24,16,1.000000,3.000,1,OK,HEALTHY
4.000,1.0000,0.57087537,0.410000,1,1,2,0.883769,24,16,1.000000,4.000,1,OK,DAMAGE DETECTED
5.000,1.0000,0.66877065,0.410000,1,0,1,0.810475,24,16,1.000000,5.000,1,OK,DAMAGE DETECTED
6.000,1.0000,0.60576122,0.410000,1,0,1,0.814244,24,16,1.000000,6.000,1,OK,DAMAGE DETECTED
7.000,1.0000,0.55352995,0.410000,1,0,1,0.837202,24,16,1.000000,7.000,1,OK,DAMAGE DETECTED
8.000,1.0000,0.50693909,0.410000,1,0,1,0.754356,24,16,1.000000,8.000,1,OK,DAMAGE DETECTED
9.000,1.0000,0.43902620,0.410000,1,0,1,0.813885,24,16,1.000000,9.000,1,OK,DAMAGE DETECTED
10.000,1.0000,0.60974775,0.410000,1,3,1,0.911857,24,16,1.000000,10.000,1,OK,DAMAGE DETECTED
11.000,1.0000,0.44814024,0.410000,1,0,3,0.809161,24,16,1.000000,11.000,1,OK,DAMAGE DETECTED
12.000,1.0000,0.53296298,0.410000,1,0,3,0.868517,24,16,1.000000,12.000,1,OK,DAMAGE DETECTED
13.000,1.0000,0.58883490,0.410000,1,3,1,0.817417,24,16,1.000000,13.000,1,OK,DAMAGE DETECTED
14.000,1.0000,0.45446607,0.410000,1,1,3,0.879739,24,16,1.000000,14.000,1,OK,DAMAGE DETECTED
15.000,1.0000,0.47701638,0.410000,1,0,3,0.908534,24,16,1.000000,15.000,1,OK,DAMAGE DETECTED
16.000,1.0000,0.56706237,0.410000,1,0,1,0.860399,24,16,1.000000,16.000,1,OK,DAMAGE DETECTED
17.000,1.0000,0.52891405,0.410000,1,0,1,0.852683,24,16,1.000000,17.000,1,OK,DAMAGE DETECTED
18.000,1.0000,0.30663105,0.410000,0,0,3,0.811505,24,16,1.000000,18.000,1,OK,DAMAGE DETECTED
19.000,1.0000,0.60676080,0.410000,1,2,1,0.843031,24,16,1.000000,19.000,1,OK,DAMAGE DETECTED
20.000,1.0000,0.36378187,0.410000,0,0,3,0.870429,24,16,1.000000,20.000,1,OK,DAMAGE DETECTED
21.000,1.0000,0.34422559,0.410000,0,0,3,0.885408,24,16,1.000000,21.000,1,OK,HEALTHY
22.000,1.0000,0.54761414,0.410000,1,0,1,0.742722,24,16,1.000000,22.000,1,OK,HEALTHY
23.000,1.0000,0.66400910,0.410000,1,0,2,0.760046,24,16,1.000000,23.000,1,OK,DAMAGE DETECTED
24.000,1.0000,0.42676595,0.410000,1,0,3,0.795214,24,16,1.000000,24.000,1,OK,DAMAGE DETECTED
25.000,1.0000,0.55508361,0.410000,1,0,1,0.785644,24,16,1.000000,25.000,1,OK,DAMAGE DETECTED
26.000,1.0000,0.63379975,0.410000,1,0,1,0.827103,24,16,1.000000,26.000,1,OK,DAMAGE DETECTED
27.000,1.0000,0.42007782,0.410000,1,0,3,0.742866,24,16,1.000000,27.000,1,OK,DAMAGE DETECTED
28.000,1.0000,0.56764865,0.410000,1,0,1,0.828929,24,16,1.000000,28.000,1,OK,DAMAGE DETECTED
29.000,1.0000,0.49849465,0.410000,1,0,3,0.906494,24,16,1.000000,29.000,1,OK,DAMAGE DETECTED
30.000,1.0000,0.68318324,0.410000,1,0,1,0.760458,24,16,1.000000,30.000,1,OK,DAMAGE DETECTED
31.000,1.0000,0.48052714,0.410000,1,0,3,0.788488,24,16,1.000000,31.000,1,OK,DAMAGE DETECTED
32.000,1.0000,0.35931786,0.410000,0,0,3,0.961453,24,16,1.000000,32.000,1,OK,DAMAGE DETECTED
33.000,1.0000,0.47035961,0.410000,1,1,3,0.819320,24,16,1.000000,33.000,1,OK,DAMAGE DETECTED
34.000,1.0000,0.40889773,0.410000,0,0,3,0.887827,24,16,1.000000,34.000,1,OK,DAMAGE DETECTED
35.000,1.0000,0.67623919,0.410000,1,1,1,0.884191,24,16,1.000000,35.000,1,OK,DAMAGE DETECTED
36.000,1.0000,0.33844708,0.410000,0,0,3,0.819500,24,16,1.000000,36.000,1,OK,HEALTHY
37.000,1.0000,0.38200758,0.410000,0,0,3,0.833690,24,16,1.000000,37.000,1,OK,HEALTHY
38.000,1.0000,0.32766525,0.410000,0,0,3,0.915690,24,16,1.000000,38.000,1,OK,HEALTHY
39.000,1.0000,0.58475306,0.410000,1,0,2,0.872062,24,16,1.000000,39.000,1,OK,HEALTHY
40.000,1.0000,0.49359678,0.410000,1,0,3,0.655922,24,16,1.000000,40.000,1,OK,HEALTHY
41.000,1.0000,0.43815622,0.410000,1,0,1,0.762814,24,16,1.000000,41.000,1,OK,DAMAGE DETECTED
42.000,1.0000,0.52995154,0.410000,1,0,1,0.790084,24,16,1.000000,42.000,1,OK,DAMAGE DETECTED
43.000,1.0000,0.40083745,0.410000,0,0,3,0.876315,24,16,1.000000,43.000,1,OK,DAMAGE DETECTED
44.000,1.0000,0.21792744,0.410000,0,0,3,0.934832,24,16,1.000000,44.000,1,OK,DAMAGE DETECTED
