t_s,p_upper,p_lower,p_front,p_rear,p_mech1,p_mech2,p_mech3
0.000,0.13887625,0.11304805,0.41234531,0.33573040,0.30055442,0.16319226,0.53625332
1.000,0.09689580,0.26786103,0.27651401,0.35872915,0.50033337,0.24679512,0.25287151
2.000,0.30018180,0.08446856,0.26315781,0.35219182,0.33990475,0.31777091,0.34232434
3.000,0.13651656,0.09345008,0.37818446,0.39184889,0.23957074,0.14505546,0.61537381
4.000,0.40455339,0.04424046,0.26886220,0.28234395,0.32330988,0.38553431,0.29115581
5.000,0.32680172,0.06650376,0.27936075,0.32733377,0.39322015,0.35729089,0.24948896
6.000,0.27850341,0.05465380,0.29101459,0.37582819,0.45018226,0.17935901,0.37045873
7.000,0.11189293,0.18227614,0.37071010,0.33512084,0.42420693,0.23714076,0.33865231
8.000,0.06818707,0.35831524,0.30072425,0.27277344,0.45182359,0.22862212,0.31955429
9.000,0.31660865,0.06608971,0.39511400,0.22218764,0.50657049,0.22421270,0.26921681
10.000,0.27330156,0.12558699,0.42649480,0.17461665,0.45240762,0.22182724,0.32576514
11.000,0.19424404,0.08015530,0.36044180,0.36515886,0.26190567,0.29295517,0.44513916
12.000,0.14569803,0.17004348,0.39183993,0.29241856,0.34903781,0.21058282,0.44037937
13.000,0.32207646,0.06698833,0.42088345,0.19005176,0.41965055,0.29658009,0.28376935
14.000,0.47375960,0.02592554,0.26495728,0.23535758,0.36731611,0.20066004,0.43202385
15.000,0.09303905,0.16737574,0.38278390,0.35680131,0.31035307,0.23411277,0.45553416
16.000,0.19885209,0.11771051,0.34351144,0.33992596,0.37830832,0.25171443,0.36997725
17.000,0.10807416,0.34207472,0.31086989,0.23898123,0.43563362,0.32750187,0.23686451
18.000,0.06417628,0.24639180,0.40903052,0.28040140,0.28751291,0.15374786,0.55873923
19.000,0.02900724,0.51743180,0.27384468,0.17971628,0.53156532,0.16596929,0.30246540
20.000,0.26979840,0.02870700,0.30996306,0.39153154,0.28718136,0.12019912,0.59261952
21.000,0.41488923,0.02220283,0.33048882,0.23241912,0.26050169,0.15168125,0.58781706
22.000,0.10084819,0.32752087,0.26908288,0.30254806,0.46353321,0.29533414,0.24113265
23.000,0.21394853,0.20495189,0.36807926,0.21302032,0.31537280,0.49313697,0.19149023
24.000,0.17205084,0.10393623,0.37444229,0.34957065,0.28073308,0.25476826,0.46449867
25.000,0.25757508,0.18603434,0.27079683,0.28559375,0.40499602,0.20519255,0.38981143
26.000,0.13903840,0.27155653,0.35759609,0.23180898,0.48881012,0.26523017,0.24595971
27.000,0.28324184,0.04451228,0.27569210,0.39655378,0.27347550,0.24676958,0.47975492
28.000,0.28631433,0.13054617,0.34213116,0.24100834,0.42144809,0.33241842,0.24613349
29.000,0.09024930,0.19660421,0.35219385,0.36095263,0.38822410,0.20651514,0.40526076
30.000,0.24276833,0.26829120,0.22430655,0.26463392,0.46552852,0.26904367,0.26542781
31.000,0.30726550,0.06196691,0.30639214,0.32437545,0.31136595,0.30305744,0.38557661
32.000,0.10354984,0.09210624,0.36138620,0.44295772,0.28009869,0.20493427,0.51496704
33.000,0.44410962,0.02481789,0.25584023,0.27523226,0.26683062,0.10143642,0.63173296
34.000,0.04877596,0.24119436,0.29657891,0.41345077,0.26775870,0.18752297,0.54471833
35.000,0.47298857,0.08366970,0.20562080,0.23772093,0.47432130,0.27064903,0.25502967
36.000,0.12216329,0.13096736,0.42815859,0.31871076,0.29618023,0.20037584,0.50344393
37.000,0.15489250,0.07673459,0.33032622,0.43804669,0.24465721,0.16738942,0.58795337
38.000,0.18926659,0.11449102,0.32394378,0.37229860,0.41326272,0.11827833,0.46845895
39.000,0.29947296,0.08506040,0.30200108,0.31346556,0.33807331,0.38696229,0.27496440
40.000,0.15208804,0.26431821,0.25618762,0.32740613,0.33294405,0.24758540,0.41947055
41.000,0.12980126,0.19716821,0.27547973,0.39755080,0.41112211,0.23700702,0.35187086
42.000,0.14916806,0.16270707,0.32520069,0.36292418,0.40199102,0.25065738,0.34735160
43.000,0.26884753,0.06582218,0.27538280,0.38994750,0.33901450,0.17816615,0.48281935
44.000,0.08464786,0.09421196,0.43888927,0.38225092,0.19419446,0.06773296,0.73807259
45.000,0.45466891,0.04222980,0.30408983,0.19901145,0.51573222,0.21518456,0.26908322
46.000,0.38237554,0.03052448,0.27694256,0.31015743,0.33318601,0.10086536,0.56594863
47.000,0.27796298,0.05587619,0.28661838,0.37954246,0.30346282,0.24119617,0.45534100
48.000,0.07976495,0.45693133,0.22762389,0.23567983,0.45245923,0.36606632,0.18147445
49.000,0.05293564,0.25108099,0.30566472,0.39031865,0.41429512,0.17629323,0.40941165
50.000,0.16531929,0.16230756,0.42082814,0.25154502,0.37159519,0.32980584,0.29859897
51.000,0.15097017,0.11157619,0.39169039,0.34576324,0.31619065,0.14951530,0.53429405
52.000,0.06518842,0.13240714,0.32668346,0.47572099,0.22968616,0.05738083,0.71293301
53.000,0.26313279,0.08159230,0.38482413,0.27045078,0.29540774,0.15248968,0.55210257
54.000,0.36609884,0.03706822,0.37230301,0.22452993,0.41384247,0.13722708,0.44893045
55.000,0.13133271,0.11181417,0.32463173,0.43222139,0.25486297,0.24462364,0.50051340
56.000,0.24291769,0.08629731,0.34665682,0.32412817,0.41524654,0.24908451,0.33566895
57.000,0.27209025,0.11116779,0.32292324,0.29381872,0.46814216,0.26707234,0.26478549
58.000,0.23583282,0.12414502,0.34395631,0.29606586,0.38870682,0.30094669,0.31034649
59.000,0.20610304,0.16899822,0.35355001,0.27134873,0.34008398,0.34782310,0.31209292
60.000,0.19753377,0.07514141,0.28659178,0.44073304,0.28941366,0.14225594,0.56833040
61.000,0.26320183,0.08298688,0.30797467,0.34583662,0.41823319,0.15613008,0.42563672
62.000,0.08750035,0.16250430,0.27537459,0.47462076,0.29386012,0.30813509,0.39800478
63.000,0.43208380,0.05647281,0.23918553,0.27225786,0.41439808,0.28042346,0.30517845
64.000,0.41374803,0.19771113,0.22745853,0.16108231,0.18516407,0.34241788,0.47241805
65.000,0.10824210,0.25008941,0.27171249,0.36995600,0.19523567,0.05847982,0.74628451
66.000,0.28870533,0.27091299,0.19933631,0.24104538,0.19858217,0.28034938,0.52106845
67.000,0.03051696,0.60641182,0.15998819,0.20308303,0.27804739,0.18188907,0.54006354
68.000,0.17206271,0.27019013,0.27456863,0.28317853,0.29415302,0.13892184,0.56692514
69.000,0.20657516,0.21591870,0.32836383,0.24914232,0.26243418,0.11573640,0.62182941
70.000,0.11874234,0.41839362,0.16603276,0.29683128,0.28187233,0.31083500,0.40729267
71.000,0.12626610,0.24076557,0.35743566,0.27553266,0.24672270,0.11247267,0.64080463
72.000,0.07475940,0.40030596,0.31182396,0.21311068,0.30596898,0.20309764,0.49093338
73.000,0.04962601,0.47593777,0.23918417,0.23525205,0.27467253,0.22247371,0.50285377
74.000,0.16589135,0.25883230,0.21678327,0.35849308,0.35491345,0.20103487,0.44405168
75.000,0.07158191,0.33369038,0.22180698,0.37292072,0.23127203,0.15680202,0.61192594
76.000,0.16142363,0.31842947,0.24919166,0.27095525,0.34397295,0.16711532,0.48891173
77.000,0.04423646,0.57955490,0.19659310,0.17961555,0.20174161,0.28395518,0.51430321
78.000,0.28988028,0.39382078,0.16598141,0.15031752,0.32644340,0.34302175,0.33053485
79.000,0.04748776,0.65222135,0.11315479,0.18713610,0.36364794,0.17210161,0.46425046
80.000,0.12691214,0.40903556,0.23360899,0.23044330,0.28355522,0.15367825,0.56276653
81.000,0.06980142,0.70101750,0.11308913,0.11609195,0.39818165,0.26001763,0.34180072
82.000,0.11585877,0.45972943,0.15719637,0.26721543,0.23820241,0.30640265,0.45539494
83.000,0.03651278,0.74474684,0.10294904,0.11579134,0.38180099,0.23104894,0.38715007
84.000,0.02239892,0.74014341,0.13697889,0.10047878,0.38194793,0.32468675,0.29336532
85.000,0.12193474,0.53152285,0.13646926,0.21007315,0.32343506,0.38599766,0.29056728
86.000,0.06032965,0.51224353,0.14909145,0.27833536,0.36190445,0.19823481,0.43986074
87.000,0.05746154,0.33542819,0.32772213,0.27938815,0.22728301,0.12448893,0.64822806
88.000,0.07042192,0.57845647,0.16609520,0.18502641,0.39578266,0.25587528,0.34834206
89.000,0.25255032,0.11704040,0.35194119,0.27846809,0.26484396,0.07736550,0.65779054
90.000,0.35301199,0.18266965,0.33715379,0.12716458,0.20257922,0.35069436,0.44672642
91.000,0.09804757,0.23567307,0.24327880,0.42300056,0.25127684,0.12914819,0.61957497
92.000,0.07445848,0.51137679,0.14332492,0.27083982,0.20764076,0.23902412,0.55333512
93.000,0.05060573,0.33714920,0.24718689,0.36505818,0.24088448,0.11260868,0.64650684
94.000,0.01327624,0.79832324,0.08374375,0.10465677,0.40696405,0.26704296,0.32599299
95.000,0.01428182,0.80872889,0.08761218,0.08937711,0.30289088,0.25796384,0.43914528
96.000,0.12577717,0.32840047,0.26554804,0.28027432,0.28381747,0.26639302,0.44978950
97.000,0.04994120,0.69851458,0.15724113,0.09430310,0.41568926,0.22988458,0.35442616
98.000,0.05622643,0.40108569,0.25955063,0.28313724,0.26069054,0.12071399,0.61859546
99.000,0.15999051,0.33326028,0.22670275,0.28004645,0.27483384,0.13255518,0.59261099
100.000,0.28021662,0.07536972,0.25673791,0.38767575,0.26967218,0.11424025,0.61608757
101.000,0.05980399,0.41065597,0.23336962,0.29617042,0.24662907,0.15088428,0.60248665
102.000,0.32808789,0.13446806,0.24131758,0.29612648,0.34853168,0.12901504,0.52245328
103.000,0.10557866,0.34836321,0.19166079,0.35439734,0.24564056,0.27094099,0.48341845
104.000,0.68619907,0.03624622,0.11173159,0.16582311,0.37715699,0.22446371,0.39837930
105.000,0.08300785,0.43108580,0.23012527,0.25578108,0.23793750,0.17420413,0.58785837
106.000,0.05993813,0.59257957,0.18676635,0.16071595,0.26232907,0.17711189,0.56055904
107.000,0.10538104,0.43802226,0.16045565,0.29614104,0.31413973,0.25820936,0.42765091
108.000,0.26624278,0.28577882,0.22129057,0.22668783,0.22417063,0.31319310,0.46263628
109.000,0.27689277,0.07536469,0.28302147,0.36472108,0.17195958,0.09583421,0.73220621
110.000,0.19810051,0.24810431,0.29328040,0.26051478,0.20181817,0.34958177,0.44860006
111.000,0.06161046,0.60380002,0.16251943,0.17207009,0.25080122,0.25350522,0.49569357
112.000,0.03100559,0.58308962,0.19381912,0.19208567,0.20360517,0.10140015,0.69499468
113.000,0.01591020,0.69472410,0.10321227,0.18615343,0.36059100,0.10334225,0.53606674
114.000,0.10750604,0.25641005,0.26802858,0.36805533,0.28542763,0.19601112,0.51856125
115.000,0.07343588,0.32145990,0.30193935,0.30316488,0.22629749,0.12360339,0.65009912
116.000,0.14594996,0.27561820,0.27312891,0.30530293,0.19806310,0.17253560,0.62940130
117.000,0.12323511,0.35957912,0.26207546,0.25511030,0.33245033,0.26393999,0.40360968
118.000,0.17416211,0.17835595,0.39952061,0.24796133,0.21908339,0.20556777,0.57534884
119.000,0.13228576,0.35089141,0.29668969,0.22013314,0.27860885,0.09089224,0.63049892
120.000,0.07194691,0.52081603,0.21085150,0.19638555,0.28772931,0.19313314,0.51913754
121.000,0.16945857,0.33796228,0.19400321,0.29857594,0.24510830,0.37970646,0.37518524
122.000,0.08024793,0.50720442,0.22623170,0.18631594,0.30142965,0.28183042,0.41673992
123.000,0.11998119,0.24869876,0.30446114,0.32685890,0.15989187,0.17911988,0.66098825
124.000,0.03386965,0.72318638,0.08475238,0.15819159,0.37830183,0.33519482,0.28650335
125.000,0.08131912,0.44447673,0.18975089,0.28445326,0.25337871,0.14854793,0.59807335
126.000,0.03963733,0.52098594,0.23433796,0.20503877,0.23636002,0.25192796,0.51171202
127.000,0.03254853,0.66566001,0.18345054,0.11834092,0.34120184,0.34634380,0.31245436
128.000,0.12710697,0.06946514,0.41643495,0.38699294,0.37502597,0.29079247,0.33418156
129.000,0.17335978,0.02265627,0.35027656,0.45370738,0.42901337,0.12291876,0.44806787
130.000,0.42393507,0.01772884,0.27309486,0.28524124,0.41438785,0.38942696,0.19618519
131.000,0.19118933,0.08234108,0.35833329,0.36813630,0.36643542,0.20417765,0.42938692
132.000,0.28346068,0.02513403,0.39017720,0.30122809,0.36529376,0.17591653,0.45878971
133.000,0.20934310,0.13502511,0.30038372,0.35524807,0.36718587,0.40142133,0.23139280
134.000,0.11561734,0.09833621,0.45739980,0.32864666,0.45346333,0.22694130,0.31959537
135.000,0.14850811,0.08514934,0.35671835,0.40962420,0.49955059,0.26578131,0.23466810
136.000,0.25263265,0.02546699,0.38416412,0.33773624,0.28409519,0.17100299,0.54490182
137.000,0.10639617,0.18426300,0.35067228,0.35866855,0.41526048,0.19325319,0.39148633
138.000,0.28816155,0.02488286,0.31595460,0.37100099,0.39669758,0.21712316,0.38617926
139.000,0.20213182,0.05572733,0.33665983,0.40548101,0.43210812,0.19397918,0.37391269
140.000,0.14923322,0.10767062,0.44828533,0.29481083,0.39128984,0.18699938,0.42171078
141.000,0.39359498,0.01934032,0.37306918,0.21399552,0.62389263,0.16199290,0.21411447
142.000,0.17557844,0.05461184,0.45074600,0.31906372,0.47582174,0.18272762,0.34145064
143.000,0.13130725,0.10361257,0.39433553,0.37074464,0.42974831,0.27074809,0.29950360
144.000,0.31996492,0.02359865,0.38760432,0.26883211,0.45159374,0.20974573,0.33866054
145.000,0.20824830,0.07608720,0.35345977,0.36220472,0.52048641,0.21594803,0.26356557
146.000,0.20862972,0.03172747,0.35967224,0.39997057,0.34824380,0.30849449,0.34326170
147.000,0.27098626,0.04638080,0.31863944,0.36399351,0.53979931,0.23489558,0.22530512
148.000,0.59606067,0.01181953,0.24245408,0.14966572,0.46826485,0.28591712,0.24581802
149.000,0.33818735,0.03538398,0.34936308,0.27706560,0.47467956,0.29930287,0.22601756
150.000,0.16369228,0.07226893,0.38588883,0.37814996,0.34497120,0.22984526,0.42518355
151.000,0.19667983,0.04360710,0.43774954,0.32196353,0.46127956,0.08993230,0.44878814
152.000,0.14383598,0.11355874,0.38845668,0.35414859,0.51247759,0.25053083,0.23699157
153.000,0.15517752,0.04501507,0.40036277,0.39944464,0.42968804,0.16438304,0.40592892
154.000,0.07916144,0.06182857,0.48170772,0.37730227,0.36726960,0.09853421,0.53419619
155.000,0.29128217,0.02762024,0.32635628,0.35474131,0.32512521,0.20484765,0.47002714
156.000,0.11095346,0.09529705,0.45909787,0.33465161,0.46351530,0.24844714,0.28803756
157.000,0.26789382,0.04545841,0.30916690,0.37748087,0.39830027,0.25826022,0.34343951
158.000,0.33104334,0.03132918,0.38734661,0.25028087,0.49130406,0.28061828,0.22807766
