component,mechanism,assumed_severity,tip_deflection_m,max_strain,margin,energy_ratio
upper_skin,matrix_crack,0.0000,0.06970247,5.45756662e-04,6.413115,1.000000
upper_skin,matrix_crack,0.0500,0.06972679,5.45726101e-04,6.413474,0.999888
upper_skin,matrix_crack,0.1000,0.06975128,5.45681264e-04,6.414001,0.999724
upper_skin,matrix_crack,0.1500,0.06977624,5.45641556e-04,6.414467,0.999578
upper_skin,matrix_crack,0.2000,0.06980125,5.45577666e-04,6.415219,0.999344
upper_skin,matrix_crack,0.3000,0.06985213,5.45516179e-04,6.415942,0.999119
upper_skin,matrix_crack,0.4000,0.06990422,5.45402776e-04,6.417276,0.998704
upper_skin,matrix_crack,0.5000,0.06995725,5.45279744e-04,6.418724,0.998253
upper_skin,matrix_crack,0.6000,0.07001151,5.45138497e-04,6.420387,0.997736
upper_skin,fibre_break,0.0000,0.06970247,5.45756662e-04,6.413115,1.000000
upper_skin,fibre_break,0.0500,0.06983635,5.45741484e-04,6.413293,0.999944
upper_skin,fibre_break,0.1000,0.06997690,5.45608944e-04,6.414851,0.999459
upper_skin,fibre_break,0.1500,0.07012648,5.45459044e-04,6.416614,0.998910
upper_skin,fibre_break,0.2000,0.07028334,5.45136638e-04,6.420409,0.997729
upper_skin,fibre_break,0.3000,0.07062649,5.55765733e-04,6.297617,1.037016
upper_skin,fibre_break,0.4000,0.07101662,5.95849198e-04,5.873969,1.191996
upper_skin,fibre_break,0.5000,0.07146257,6.43355103e-04,5.440230,1.389644
upper_skin,fibre_break,0.6000,0.07198210,6.99856221e-04,5.001027,1.644446
upper_skin,delamination,0.0000,0.06970247,5.45756662e-04,6.413115,1.000000
upper_skin,delamination,0.0500,0.06970249,5.45759527e-04,6.413081,1.000010
upper_skin,delamination,0.1000,0.06970251,5.45761781e-04,6.413054,1.000019
upper_skin,delamination,0.1500,0.06970254,5.45765294e-04,6.413013,1.000032
upper_skin,delamination,0.2000,0.06970256,5.45766970e-04,6.412993,1.000038
upper_skin,delamination,0.3000,0.06970261,5.45768933e-04,6.412970,1.000045
upper_skin,delamination,0.4000,0.06970266,5.45770357e-04,6.412954,1.000050
upper_skin,delamination,0.5000,0.06970271,5.45769420e-04,6.412965,1.000047
upper_skin,delamination,0.6000,0.06970276,5.45765434e-04,6.413011,1.000032
lower_skin,matrix_crack,0.0000,0.06970247,1.36436012e-04,25.653051,1.000000
lower_skin,matrix_crack,0.0500,0.06972575,1.37063251e-04,25.535656,1.009216
lower_skin,matrix_crack,0.1000,0.06974921,1.37678618e-04,25.421522,1.018298
lower_skin,matrix_crack,0.1500,0.06977311,1.38314179e-04,25.304709,1.027721
lower_skin,matrix_crack,0.2000,0.06979705,1.38954036e-04,25.188185,1.037252
lower_skin,matrix_crack,0.3000,0.06984575,1.40240419e-04,24.957142,1.056546
lower_skin,matrix_crack,0.4000,0.06989560,1.41557456e-04,24.724943,1.076484
lower_skin,matrix_crack,0.5000,0.06994632,1.42884212e-04,24.495359,1.096757
lower_skin,matrix_crack,0.6000,0.06999822,1.44265221e-04,24.260872,1.118060
lower_skin,fibre_break,0.0000,0.06970247,1.36436012e-04,25.653051,1.000000
lower_skin,fibre_break,0.0500,0.06983060,1.39340016e-04,25.118412,1.043023
lower_skin,fibre_break,0.1000,0.06996504,1.42329423e-04,24.590839,1.088257
lower_skin,fibre_break,0.1500,0.07010802,1.45481115e-04,24.058105,1.136986
lower_skin,fibre_break,0.2000,0.07025779,1.48777088e-04,23.525128,1.189088
lower_skin,fibre_break,0.3000,0.07058490,1.55871048e-04,22.454459,1.305187
lower_skin,fibre_break,0.4000,0.07095607,1.63722546e-04,21.377630,1.439988
lower_skin,fibre_break,0.5000,0.07137911,1.72431857e-04,20.297873,1.597265
lower_skin,fibre_break,0.6000,0.07187034,1.82331874e-04,19.195766,1.785941
lower_skin,delamination,0.0000,0.06970247,1.36436012e-04,25.653051,1.000000
lower_skin,delamination,0.0500,0.06970248,1.36679481e-04,25.607355,1.003572
lower_skin,delamination,0.1000,0.06970250,1.36932333e-04,25.560070,1.007289
lower_skin,delamination,0.1500,0.06970252,1.37190158e-04,25.512034,1.011085
lower_skin,delamination,0.2000,0.06970254,1.37457901e-04,25.462341,1.015036
lower_skin,delamination,0.3000,0.06970258,1.38023412e-04,25.358017,1.023405
lower_skin,delamination,0.4000,0.06970262,1.38624475e-04,25.248067,1.032338
lower_skin,delamination,0.5000,0.06970266,1.39266592e-04,25.131655,1.041924
lower_skin,delamination,0.6000,0.06970271,1.39956967e-04,25.007687,1.052279
front_spar,matrix_crack,0.0000,0.06970247,2.97051852e-04,11.782455,1.000000
front_spar,matrix_crack,0.0500,0.06970428,2.97035935e-04,11.783086,0.999893
front_spar,matrix_crack,0.1000,0.06970608,2.97026433e-04,11.783463,0.999829
front_spar,matrix_crack,0.1500,0.06970792,2.97005673e-04,11.784287,0.999689
front_spar,matrix_crack,0.2000,0.06970974,2.96992914e-04,11.784793,0.999603
front_spar,matrix_crack,0.3000,0.06971338,2.96960199e-04,11.786091,0.999383
front_spar,matrix_crack,0.4000,0.06971703,2.96917252e-04,11.787796,0.999094
front_spar,matrix_crack,0.5000,0.06972072,2.96873759e-04,11.789523,0.998801
front_spar,matrix_crack,0.6000,0.06972443,2.96820579e-04,11.791635,0.998443
front_spar,fibre_break,0.0000,0.06970247,2.97051852e-04,11.782455,1.000000
front_spar,fibre_break,0.0500,0.06971210,2.97401222e-04,11.768613,1.002354
front_spar,fibre_break,0.1000,0.06972185,2.97730617e-04,11.755593,1.004575
front_spar,fibre_break,0.1500,0.06973173,2.98047242e-04,11.743105,1.006713
front_spar,fibre_break,0.2000,0.06974168,2.98315519e-04,11.732544,1.008526
front_spar,fibre_break,0.3000,0.06976190,2.98804889e-04,11.713329,1.011838
front_spar,fibre_break,0.4000,0.06978269,2.99087186e-04,11.702273,1.013751
front_spar,fibre_break,0.5000,0.06980432,2.99125966e-04,11.700756,1.014013
front_spar,fibre_break,0.6000,0.06982705,2.98589136e-04,11.721793,1.010377
front_spar,delamination,0.0000,0.06970247,2.97051852e-04,11.782455,1.000000
front_spar,delamination,0.0500,0.06970246,2.97150471e-04,11.778544,1.000664
front_spar,delamination,0.1000,0.06970246,2.97243686e-04,11.774851,1.001292
front_spar,delamination,0.1500,0.06970245,2.97343709e-04,11.770890,1.001966
front_spar,delamination,0.2000,0.06970246,2.97452070e-04,11.766602,1.002696
front_spar,delamination,0.3000,0.06970247,2.97650698e-04,11.758750,1.004036
front_spar,delamination,0.4000,0.06970250,2.97863508e-04,11.750348,1.005472
front_spar,delamination,0.5000,0.06970254,2.98077272e-04,11.741922,1.006916
front_spar,delamination,0.6000,0.06970260,2.98295273e-04,11.733340,1.008389
rear_spar,matrix_crack,0.0000,0.06970247,2.11406631e-04,16.555772,1.000000
rear_spar,matrix_crack,0.0500,0.06970449,2.11424167e-04,16.554399,1.000166
rear_spar,matrix_crack,0.1000,0.06970653,2.11437550e-04,16.553351,1.000293
rear_spar,matrix_crack,0.1500,0.06970859,2.11464269e-04,16.551260,1.000545
rear_spar,matrix_crack,0.2000,0.06971064,2.11480106e-04,16.550020,1.000695
rear_spar,matrix_crack,0.3000,0.06971472,2.11507190e-04,16.547901,1.000952
rear_spar,matrix_crack,0.4000,0.06971884,2.11546217e-04,16.544848,1.001321
rear_spar,matrix_crack,0.5000,0.06972299,2.11569412e-04,16.543034,1.001541
rear_spar,matrix_crack,0.6000,0.06972716,2.11600738e-04,16.540585,1.001837
rear_spar,fibre_break,0.0000,0.06970247,2.11406631e-04,16.555772,1.000000
rear_spar,fibre_break,0.0500,0.06971227,2.11693541e-04,16.533334,1.002716
rear_spar,fibre_break,0.1000,0.06972224,2.11974581e-04,16.511414,1.005380
rear_spar,fibre_break,0.1500,0.06973234,2.12198340e-04,16.494003,1.007504
rear_spar,fibre_break,0.2000,0.06974255,2.12421991e-04,16.476637,1.009629
rear_spar,fibre_break,0.3000,0.06976316,2.12810795e-04,16.446534,1.013328
rear_spar,fibre_break,0.4000,0.06978443,2.12999239e-04,16.431984,1.015124
rear_spar,fibre_break,0.5000,0.06980653,2.13001692e-04,16.431794,1.015147
rear_spar,fibre_break,0.6000,0.06982969,2.12576222e-04,16.464682,1.011095
rear_spar,delamination,0.0000,0.06970247,2.11406631e-04,16.555772,1.000000
rear_spar,delamination,0.0500,0.06970247,2.11382195e-04,16.557686,0.999769
rear_spar,delamination,0.1000,0.06970248,2.11356172e-04,16.559725,0.999523
rear_spar,delamination,0.1500,0.06970250,2.11327380e-04,16.561981,0.999250
rear_spar,delamination,0.2000,0.06970252,2.11295118e-04,16.564510,0.998945
rear_spar,delamination,0.3000,0.06970256,2.11224491e-04,16.570048,0.998278
rear_spar,delamination,0.4000,0.06970262,2.11144393e-04,16.576334,0.997521
rear_spar,delamination,0.5000,0.06970271,2.11052363e-04,16.583562,0.996651
rear_spar,delamination,0.6000,0.06970281,2.10939796e-04,16.592412,0.995588
