accel_idx,node,x_chord,y_span,z
1,49,0.21389,0.16667,0.05408
2,76,0.28758,0.25000,-0.02503
3,79,0.36371,0.25000,0.04691
4,98,0.28428,0.33333,-0.02474
5,186,0.27106,0.66667,-0.02359
6,209,0.30319,0.75000,0.04642
7,230,0.26444,0.83333,-0.02302
8,340,0.24792,1.25000,-0.02158
9,341,0.28073,1.25000,0.04298
10,472,0.22808,1.75000,-0.01985
11,473,0.25827,1.75000,0.03954
12,604,0.20825,2.25000,-0.01813
13,605,0.23581,2.25000,0.03610
14,735,0.18842,2.75000,0.03411
15,736,0.18842,2.75000,-0.01640
16,757,0.18511,2.83333,0.03351
