gauge_idx,component_idx,component_name,x_chord,y_span,z
1,1,upper_skin,0.15880,0.04167,0.05209
2,1,upper_skin,0.14815,0.54167,0.04860
3,1,upper_skin,0.13751,1.04167,0.04511
4,1,upper_skin,0.12686,1.54167,0.04161
5,1,upper_skin,0.11622,2.04167,0.03812
6,1,upper_skin,0.10557,2.54167,0.03463
7,2,lower_skin,0.15880,0.04167,-0.02938
8,2,lower_skin,0.14815,0.54167,-0.02741
9,2,lower_skin,0.13751,1.04167,-0.02544
10,2,lower_skin,0.12686,1.54167,-0.02347
11,2,lower_skin,0.11622,2.04167,-0.02150
12,2,lower_skin,0.10557,2.54167,-0.01953
13,3,front_spar,0.13922,0.04167,-0.01610
14,3,front_spar,0.12989,0.54167,-0.01502
15,3,front_spar,0.12056,1.04167,-0.01394
16,3,front_spar,0.11122,1.54167,-0.01286
17,3,front_spar,0.10189,2.04167,-0.01178
18,3,front_spar,0.09256,2.54167,-0.01070
19,4,rear_spar,0.45247,0.04167,-0.00750
20,4,rear_spar,0.42214,0.54167,-0.00700
21,4,rear_spar,0.39181,1.04167,-0.00650
22,4,rear_spar,0.36147,1.54167,-0.00599
23,4,rear_spar,0.33114,2.04167,-0.00549
24,4,rear_spar,0.30081,2.54167,-0.00499
