y_span,chord,x_front,x_rear
0.00000,0.70000,0.14000,0.45500
0.08333,0.69222,0.13844,0.44994
0.16667,0.68444,0.13689,0.44489
0.25000,0.67667,0.13533,0.43983
0.33333,0.66889,0.13378,0.43478
0.41667,0.66111,0.13222,0.42972
0.50000,0.65333,0.13067,0.42467
0.58333,0.64556,0.12911,0.41961
0.66667,0.63778,0.12756,0.41456
0.75000,0.63000,0.12600,0.40950
0.83333,0.62222,0.12444,0.40444
0.91667,0.61444,0.12289,0.39939
1.00000,0.60667,0.12133,0.39433
1.08333,0.59889,0.11978,0.38928
1.16667,0.59111,0.11822,0.38422
1.25000,0.58333,0.11667,0.37917
1.33333,0.57556,0.11511,0.37411
1.41667,0.56778,0.11356,0.36906
1.50000,0.56000,0.11200,0.36400
1.58333,0.55222,0.11044,0.35894
1.66667,0.54444,0.10889,0.35389
1.75000,0.53667,0.10733,0.34883
1.83333,0.52889,0.10578,0.34378
1.91667,0.52111,0.10422,0.33872
2.00000,0.51333,0.10267,0.33367
2.08333,0.50556,0.10111,0.32861
2.16667,0.49778,0.09956,0.32356
2.25000,0.49000,0.09800,0.31850
2.33333,0.48222,0.09644,0.31344
2.41667,0.47444,0.09489,0.30839
2.50000,0.46667,0.09333,0.30333
2.58333,0.45889,0.09178,0.29828
2.66667,0.45111,0.09022,0.29322
2.75000,0.44333,0.08867,0.28817
2.83333,0.43556,0.08711,0.28311
2.91667,0.42778,0.08556,0.27806
3.00000,0.42000,0.08400,0.27300
